"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"ge.C1QTNF6",5.5448357437567e-26,"less","ge","C1QTNF6",1,1,1
"ge.PTGES",1.47203629988197e-22,"less","ge","PTGES",2,2,2
"ge.YAP1",1.41974655733854e-20,"less","ge","YAP1",3,3,3
"ge.EMP1",2.21792705142066e-20,"less","ge","EMP1",4,4,4
"ge.PXN",4.96870618175667e-20,"less","ge","PXN",5,5,5
"ge.HFE",5.29095043799088e-20,"less","ge","HFE",6,6,6
"ge.EGFR",5.56126431819684e-20,"less","ge","EGFR",7,7,7
"ge.SYDE1",1.78490728749982e-19,"less","ge","SYDE1",8,8,8
"ge.GPX8",1.93744564461212e-19,"less","ge","GPX8",9,9,9
"ge.STEAP1",2.00866673821896e-19,"less","ge","STEAP1",10,10,10
"ge.TBC1D2",4.78021120865038e-19,"less","ge","TBC1D2",11,11,11
"ge.ITPRIPL2",9.50884633750919e-19,"less","ge","ITPRIPL2",12,12,12
"ge.OSMR",1.19003305501156e-18,"less","ge","OSMR",13,13,13
"ge.CYR61",1.60283788157977e-18,"less","ge","CYR61",14,14,14
"ge.RSBN1",2.19001452703572e-18,"greater","ge","RSBN1",15,15,1
"ge.CAV2",3.52426646641198e-18,"less","ge","CAV2",16,16,15
"ge.KRT17",4.21050422001542e-18,"less","ge","KRT17",17,17,16
"ge.MYOF",4.97110990569412e-18,"less","ge","MYOF",18,18,17
"ge.RNF138",6.04878977187988e-18,"greater","ge","RNF138",19,19,2
"ge.BCAR1",7.17561663740968e-18,"less","ge","BCAR1",20,20,18
"origin",8.03408343433226e-18,"na",NA,"origin",21,1,1
"ge.EXT1",9.91656419664679e-18,"less","ge","EXT1",22,21,19
"ge.ITGB5",1.13771388290356e-17,"less","ge","ITGB5",23,22,20
"ge.SGMS2",1.37439592900975e-17,"less","ge","SGMS2",24,23,21
"ge.ITGA3",1.57053989823775e-17,"less","ge","ITGA3",25,24,22
"ge.AVPI1",2.17575300236724e-17,"less","ge","AVPI1",26,25,23
"ge.PRSS23",2.20743147581723e-17,"less","ge","PRSS23",27,26,24
"ge.PTRF",2.25414255134142e-17,"less","ge","PTRF",28,27,25
"ge.UPP1",2.38790314810105e-17,"less","ge","UPP1",29,28,26
"ge.PTPN14",2.62110015633196e-17,"less","ge","PTPN14",30,29,27
"ge.KDELR3",2.73668735784107e-17,"less","ge","KDELR3",31,30,28
"ge.HMGB2",3.01606002837408e-17,"greater","ge","HMGB2",32,31,3
"ge.AXL",3.52759908037401e-17,"less","ge","AXL",33,32,29
"ge.CAV1",3.99618772706583e-17,"less","ge","CAV1",34,33,30
"ge.ZNF708",4.06374608158269e-17,"greater","ge","ZNF708",35,34,4
"ge.GPRC5A",4.42059921757296e-17,"less","ge","GPRC5A",36,35,31
"ge.TMEM40",4.61667610308878e-17,"less","ge","TMEM40",37,36,32
"ge.EHD2",4.92845955883662e-17,"less","ge","EHD2",38,37,33
"ge.LAMB2",5.89151412792991e-17,"less","ge","LAMB2",39,38,34
"ge.SMAD4",5.96587034226829e-17,"greater","ge","SMAD4",40,39,5
"ge.FAM114A1",7.31833398901293e-17,"less","ge","FAM114A1",41,40,35
"ge.UCP2",7.92978781416967e-17,"greater","ge","UCP2",42,41,6
"ge.TNFRSF12A",8.77726545622007e-17,"less","ge","TNFRSF12A",43,42,36
"ge.S100A16",9.10573822924387e-17,"less","ge","S100A16",44,43,37
"ge.FOSL1",1.11480087599619e-16,"less","ge","FOSL1",45,44,38
"ge.CTSL",1.14912179206332e-16,"less","ge","CTSL",46,45,39
"ge.GNG12",1.3045421574496e-16,"less","ge","GNG12",47,46,40
"ge.AJUBA",1.37299299726584e-16,"less","ge","AJUBA",48,47,41
"ge.NQO1",1.65173725853107e-16,"less","ge","NQO1",49,48,42
"ge.ANXA2P1",1.98913069081036e-16,"less","ge","ANXA2P1",50,49,43
"ge.AHNAK",2.64129436763837e-16,"less","ge","AHNAK",51,50,44
"ge.HDHD2",2.91823206807423e-16,"greater","ge","HDHD2",52,51,7
"ge.KRT4",2.93149733982149e-16,"less","ge","KRT4",53,52,45
"ge.TLDC1",2.93472737728649e-16,"less","ge","TLDC1",54,53,46
"ge.ANXA2P2",3.22433742979613e-16,"less","ge","ANXA2P2",55,54,47
"ge.NRG1",3.5013712271003e-16,"less","ge","NRG1",56,55,48
"ge.PLAT",3.82994080731266e-16,"less","ge","PLAT",57,56,49
"ge.AFAP1L1",4.10311358337923e-16,"less","ge","AFAP1L1",58,57,50
"ge.ITGA2",4.8858870450479e-16,"less","ge","ITGA2",59,58,51
"ge.CCND1",4.91942662485137e-16,"less","ge","CCND1",60,59,52
"ge.IL6ST",5.29808621040015e-16,"less","ge","IL6ST",61,60,53
"ge.EPHA2",5.44034014008177e-16,"less","ge","EPHA2",62,61,54
"ge.C19ORF33",6.81417580209224e-16,"less","ge","C19ORF33",63,62,55
"ge.CYFIP2",7.06495168508952e-16,"greater","ge","CYFIP2",64,63,8
"ge.BCL9L",7.3835604253199e-16,"less","ge","BCL9L",65,64,56
"ge.TLCD2",7.63258930731501e-16,"less","ge","TLCD2",66,65,57
"ge.RRAS",1.13687191356287e-15,"less","ge","RRAS",67,66,58
"ge.SQSTM1",1.1686285555085e-15,"less","ge","SQSTM1",68,67,59
"ge.TM4SF1",1.22659075832556e-15,"less","ge","TM4SF1",69,68,60
"ge.COL12A1",1.30990411743358e-15,"less","ge","COL12A1",70,69,61
"ge.AHNAK2",1.33174381583631e-15,"less","ge","AHNAK2",71,70,62
"ge.PAPSS2",1.43229842088949e-15,"less","ge","PAPSS2",72,71,63
"ge.LBR",1.48767867090725e-15,"greater","ge","LBR",73,72,9
"ge.VEGFC",1.5199856318576e-15,"less","ge","VEGFC",74,73,64
"ge.ALDH1A3",1.62301599008701e-15,"less","ge","ALDH1A3",75,74,65
"ge.SERPINE1",2.27170818609168e-15,"less","ge","SERPINE1",76,75,66
"ge.MIR205HG",2.41796104346754e-15,"less","ge","MIR205HG",77,76,67
"ge.MYO1C",2.81855723190877e-15,"less","ge","MYO1C",78,77,68
"ge.F3",3.05131606120485e-15,"less","ge","F3",79,78,69
"ge.VAMP3",3.29127156827476e-15,"less","ge","VAMP3",80,79,70
"ge.TSKU",3.39860674234932e-15,"less","ge","TSKU",81,80,71
"ge.BLID",3.47220648007833e-15,"less","ge","BLID",82,81,72
"ge.BCAR3",3.5449039145077e-15,"less","ge","BCAR3",83,82,73
"ge.LMNA",4.43686193170523e-15,"less","ge","LMNA",84,83,74
"ge.NT5E",4.52631747330837e-15,"less","ge","NT5E",85,84,75
"ge.AGPAT5",4.60681923837796e-15,"greater","ge","AGPAT5",86,85,10
"ge.ZNF397",5.5845438915218e-15,"greater","ge","ZNF397",87,86,11
"ge.CDC42EP1",5.88913187374908e-15,"less","ge","CDC42EP1",88,87,76
"ge.IER3",5.97200852256162e-15,"less","ge","IER3",89,88,77
"ge.PLCD3",6.13767963497296e-15,"less","ge","PLCD3",90,89,78
"ge.WWTR1",6.48567281606682e-15,"less","ge","WWTR1",91,90,79
